,pgpid,count,people
0,444,2,beaumont gil
1,445,2,beaumont gil
2,446,2,tsafrir friedman
3,447,2,
4,448,2,cohen
5,449,2,
6,451,3,beaumont gil goitein
7,452,3,hamdani friedman goitein
8,453,2,
9,454,2,tsafrir friedman
10,455,2,tsafrir friedman
11,456,2,friedman
12,457,2,tsafrir friedman
13,458,2,tsafrir goitein
14,459,2,heger friedman
15,460,4,elbaum gil
16,461,2,
17,462,3,elbaum beaumont gil
18,463,2,beaumont gil
19,464,2,
20,465,3,elbaum beaumont gil
21,467,2,
22,468,4,elbaum nisenson tsafrir goitein
23,469,5,elbaum nisenson gil goitein
24,470,2,gil
25,472,2,beaumont gil
26,473,2,
27,475,2,gil
28,476,3,elbaum beaumont gil
29,477,3,heger gil
30,478,2,hamdani gil
31,479,2,hamdani gil
32,480,3,gil
33,482,2,gil
34,483,2,hamdani gil
35,484,2,heger friedman
36,487,4,beaumont gil goitein
37,488,2,hamdani gil
38,489,2,hamdani gil
39,491,2,beaumont goitein
40,492,2,tsafrir
41,493,2,
42,494,2,
43,495,3,elbaum
44,496,2,
45,498,2,hamdani goitein
46,499,2,goitein
47,501,2,beaumont gil
48,502,4,nisenson tsafrir gil goitein
49,503,2,beaumont gil
50,504,2,tsafrir friedman
51,505,2,gil
52,506,3,heger friedman gil
53,507,2,beaumont gil
54,508,2,gil
55,509,2,beaumont gil
56,510,2,beaumont gil
57,512,2,beaumont gil
58,513,2,tsafrir goitein
59,515,2,beaumont gil
60,516,1,heger
61,517,2,hamdani gil
62,519,4,elbaum heger gil goitein
63,520,2,beaumont gil
64,521,2,cohen
65,523,2,beaumont gil
66,524,2,tsafrir friedman
67,525,2,beaumont gil
68,526,2,beaumont gil
69,527,2,beaumont gil
70,528,2,beaumont gil
71,529,2,beaumont gil
72,530,2,beaumont gil
73,531,2,
74,532,2,beaumont gil
75,533,2,beaumont gil
76,534,2,nisenson cohen
77,535,2,heger friedman
78,536,2,beaumont gil
79,537,2,
80,542,2,
81,543,2,beaumont gil
82,544,2,
83,546,2,beaumont gil
84,547,3,nisenson gil
85,548,3,heger cohen gil
86,549,2,
87,550,2,beaumont gil
88,552,2,
89,553,3,
90,554,2,hamdani gil
91,555,2,hamdani gil
92,556,2,beaumont gil
93,557,2,hamdani gil
94,558,3,gil goitein
95,559,2,goitein
96,560,2,tsafrir friedman
97,561,3,tsafrir friedman gil
98,562,2,gil
99,563,2,
100,564,2,heger gil
101,565,3,nisenson tsafrir goitein
102,566,2,heger gil
103,567,3,beaumont gil goitein
104,568,3,elbaum cohen
105,569,3,rustow beaumont goitein
106,570,2,hamdani gil
107,571,2,beaumont gil
108,572,2,hamdani gil
109,573,2,beaumont goitein
110,574,2,heger gil
111,575,2,hamdani
112,576,4,rustow friedman goitein
113,577,2,
114,578,4,elbaum nisenson cohen gil
115,579,2,beaumont goitein
116,580,3,elbaum gil
117,581,2,beaumont gil
118,582,2,
119,583,2,beaumont gil
120,584,3,tsafrir gil
121,585,2,hamdani gil
122,586,3,tsafrir gil
123,587,2,beaumont gil
124,588,2,hamdani gil
125,589,2,hamdani gil
126,591,2,tsafrir goitein
127,592,3,elbaum beaumont gil
128,593,3,elbaum heger gil
129,594,2,gil
130,595,2,beaumont gil
131,596,3,elbaum heger
132,597,2,beaumont gil
133,598,2,heger gil
134,599,2,gil
135,600,3,elbaum hamdani gil
136,601,2,
137,602,2,
138,603,1,
139,604,2,hamdani gil
140,605,2,hamdani gil
141,606,2,beaumont gil
142,607,2,
143,608,2,hamdani gil
144,609,3,elbaum hamdani gil
145,610,3,elbaum hamdani gil
146,611,2,hamdani gil
147,612,2,hamdani gil
148,613,2,hamdani gil
149,614,2,
150,615,2,tsafrir friedman
151,616,3,rustow beaumont gil
152,617,3,elbaum tsafrir friedman
153,618,2,beaumont gil
154,619,2,beaumont gil
155,620,2,beaumont gil
156,621,2,heger gil
157,622,3,tsafrir gil goitein
158,623,2,beaumont gil
159,626,3,gil
160,627,2,heger friedman
161,628,2,cohen
162,629,3,elbaum beaumont gil
163,630,3,elbaum beaumont gil
164,634,2,gil
165,635,2,hamdani gil
166,636,3,elbaum
167,637,2,tsafrir goitein
168,638,2,gil
169,639,2,rustow goitein
170,641,2,tsafrir friedman
171,642,2,
172,643,2,beaumont gil
173,646,2,tsafrir goitein
174,648,2,beaumont gil
175,649,2,hamdani gil
176,650,2,gil
177,651,2,
178,653,3,ashur zinger gil
179,654,3,gil
180,655,2,beaumont gil
181,656,3,tsafrir gil goitein
182,657,2,beaumont gil
183,658,3,elbaum goitein
184,659,3,ashur zinger gil
185,660,2,beaumont goitein
186,661,2,beaumont gil
187,662,3,ashur zinger gil
188,663,3,ashur zinger gil
189,664,3,ashur zinger gil
190,665,2,ashur zinger
191,666,2,heger friedman
192,667,3,ashur zinger gil
193,668,3,gil
194,669,3,tsafrir gil goitein
195,670,4,ashur zinger gil
196,671,2,gil
197,673,2,gil
198,674,2,tsafrir friedman
199,675,2,beaumont gil
200,676,2,gil
201,677,2,beaumont gil
202,678,2,beaumont gil
203,679,2,heger gil
204,681,2,beaumont gil
205,682,2,beaumont gil
206,684,2,beaumont gil
207,685,2,beaumont gil
208,686,2,beaumont gil
209,687,4,ashur zinger
210,688,3,ashur zinger gil
211,689,2,
212,690,4,gil
213,691,4,ashur zinger
214,692,5,silkaitis gil
215,694,4,gil
216,695,3,gil
217,696,3,ashur zinger gil
218,697,5,ashur zinger gil
219,698,2,
220,699,4,elbaum gil
221,700,4,elbaum gil
222,701,4,elbaum gil
223,702,4,elbaum gil
224,703,4,elbaum gil
225,705,4,elbaum gil
226,707,3,nisenson gil
227,708,3,gil
228,709,3,gil
229,710,3,gil
230,711,3,gil
231,712,3,gil
232,713,3,gil
233,714,3,gil
234,715,3,ashur zinger gil
235,716,4,nisenson gil goitein
236,717,4,elbaum gil
237,718,4,elbaum gil
238,719,3,gil
239,720,4,elbaum gil
240,721,3,vidro gil
241,722,4,vidro gil
242,723,3,gil
243,724,3,gil
244,725,2,
245,726,2,cohen
246,727,2,
247,728,4,ashur zinger heger gil
248,729,3,ashur zinger gil
249,730,5,elbaum ashur zinger nisenson goitein
250,731,3,ashur zinger gil
251,732,3,ashur zinger gil
252,733,2,beaumont gil
253,734,2,beaumont gil
254,735,2,
255,736,2,
256,737,3,ashur zinger gil
257,739,2,beaumont gil
258,740,4,ashur zinger heger gil
259,741,2,gil
260,743,2,gil
261,744,2,gil
262,745,2,gil
263,746,3,ashur zinger gil
264,747,3,ashur zinger gil
265,749,2,hamdani goitein
266,750,2,hamdani gil
267,751,3,rustow beaumont gil
268,752,3,ashur zinger gil
269,753,3,gil
270,754,2,tsafrir friedman
271,755,2,beaumont gil
272,756,2,tsafrir goitein
273,757,4,ashur zinger cohen
274,759,2,heger gil
275,760,2,beaumont gil
276,761,2,cohen
277,763,2,beaumont gil
278,764,3,beaumont friedman gil
279,765,2,beaumont gil
280,766,2,
281,767,2,beaumont gil
282,768,2,heger gil
283,769,2,beaumont gil
284,770,3,gil
285,771,3,gil
286,772,3,gil
287,773,2,hamdani gil
288,774,3,gil
289,775,2,gil
290,776,2,beaumont gil
291,777,2,beaumont gil
292,778,2,beaumont gil
293,779,2,beaumont gil
294,780,3,beaumont gil
295,781,2,beaumont gil
296,782,3,gil
297,783,2,
298,784,2,beaumont gil
299,785,2,heger friedman
300,786,3,cohen
301,788,4,rustow gil
302,790,2,gil
303,791,2,beaumont gil
304,792,2,hamdani goitein
305,793,2,gil
306,794,2,beaumont gil
307,795,3,elbaum gil
308,796,2,beaumont gil
309,797,2,tsafrir friedman
310,798,2,gil
311,799,2,tsafrir goitein
312,801,4,elbaum beaumont gil goitein
313,803,2,heger friedman
314,805,2,heger friedman
315,807,5,ashur zinger friedman gil
316,808,2,beaumont gil
317,809,2,heger gil
318,810,2,beaumont gil
319,811,2,heger friedman
320,812,3,ashur zinger gil
321,813,4,gil
322,814,3,ashur zinger gil
323,815,2,heger friedman
324,816,2,beaumont gil
325,817,2,beaumont gil
326,818,3,gil
327,819,2,beaumont gil
328,820,2,heger gil
329,821,2,gil
330,822,2,gil
331,823,2,hamdani gil
332,824,2,beaumont gil
333,825,2,gil
334,826,2,heger friedman
335,827,3,gil
336,828,2,nisenson goitein
337,829,3,gil
338,830,2,gil
339,831,2,tsafrir friedman
340,832,2,gil
341,833,2,beaumont gil
342,834,2,cohen
343,835,3,ashur zinger friedman
344,836,3,elbaum beaumont gil
345,837,3,elbaum
346,838,3,elbaum beaumont
347,839,4,elbaum beaumont gil goitein
348,840,2,beaumont gil
349,841,3,elbaum gil
350,842,3,elbaum beaumont gil
351,843,2,
352,844,2,
353,845,2,
354,846,4,elbaum hamdani gil goitein
355,847,2,tsafrir
356,848,2,
357,849,2,beaumont goitein
358,850,2,gil
359,851,2,tsafrir goitein
360,852,2,tsafrir goitein
361,853,3,elbaum tsafrir goitein
362,854,2,tsafrir gil
363,855,2,gil
364,856,2,beaumont gil
365,857,2,gil
366,858,3,elbaum tsafrir goitein
367,859,3,rustow beaumont gil
368,860,3,rustow heger friedman
369,861,2,heger friedman
370,862,3,rustow beaumont gil
371,863,3,rustow beaumont gil
372,864,3,rustow gil
373,865,3,elbaum beaumont gil
374,866,2,beaumont gil
375,867,2,beaumont goitein
376,868,2,cohen
377,869,2,beaumont gil
378,870,2,beaumont gil
379,871,2,beaumont gil
380,872,2,cohen
381,873,2,nisenson goitein
382,874,2,beaumont gil
383,875,2,
384,876,2,beaumont gil
385,877,3,nisenson tsafrir goitein
386,878,3,rustow beaumont gil
387,879,2,beaumont gil
388,880,2,beaumont gil
389,881,2,beaumont gil
390,882,2,
391,883,2,
392,884,2,beaumont gil
393,885,3,elbaum cohen
394,886,2,heger gil
395,887,4,rustow tsafrir gil goitein
396,888,5,nisenson gil
397,889,3,gil
398,890,3,elbaum gil
399,891,2,gil
400,892,2,gil
401,893,3,rustow heger gil
402,894,2,rustow gil
403,895,3,rustow heger gil
404,896,2,heger gil
405,897,2,
406,898,3,nisenson gil
407,899,2,beaumont gil
408,900,2,goitein
409,901,2,tsafrir
410,902,2,gil
411,903,2,gil
412,904,2,gil
413,905,2,tsafrir friedman
414,906,2,goitein
415,907,2,tsafrir friedman
416,908,2,beaumont gil
417,909,2,goitein
418,910,2,beaumont gil
419,911,2,beaumont goitein
420,912,1,
421,913,2,beaumont goitein
422,914,2,gil
423,915,2,heger goitein
424,916,3,nisenson heger goitein
425,917,3,gil
426,918,3,nisenson heger goitein
427,919,2,heger goitein
428,920,2,gil
429,921,2,heger gil
430,922,2,heger goitein
431,923,3,nisenson heger goitein
432,924,2,beaumont gil
433,925,2,heger goitein
434,926,3,nisenson heger goitein
435,927,2,heger goitein
436,928,1,nisenson
437,929,3,nisenson heger goitein
438,930,2,gil
439,931,2,beaumont gil
440,932,3,heger goitein
441,933,2,heger goitein
442,934,2,heger goitein
443,935,2,beaumont gil
444,936,3,gil
445,937,2,
446,938,2,
447,939,2,beaumont gil
448,940,2,tsafrir goitein
449,941,2,beaumont gil
450,942,2,beaumont gil
451,943,2,beaumont gil
452,944,3,beaumont gil
453,945,2,beaumont gil
454,946,2,beaumont gil
455,947,2,gil
456,948,2,cohen
457,949,2,beaumont gil
458,950,4,gil
459,951,2,beaumont gil
460,952,2,beaumont gil
461,953,3,nisenson goitein
462,954,2,nisenson gil
463,955,2,gil
464,956,2,
465,957,2,beaumont gil
466,958,2,beaumont goitein
467,959,2,beaumont gil
468,960,2,beaumont gil
469,961,2,beaumont gil
470,962,2,heger gil
471,963,2,
472,964,2,tsafrir goitein
473,965,3,beaumont gil goitein
